,coordinates,elevation
23,"(37.617956649999996, -107.8247072)",3141.55615234375
24,"(37.618028675, -107.8246217)",3139.041748046875
25,"(37.6181007, -107.8245362)",3136.55712890625
26,"(37.618172725, -107.8244507)",3134.150390625
27,"(37.61824475, -107.82436519999999)",3131.819580078125
28,"(37.618316775, -107.82427969999999)",3129.465576171875
29,"(37.6183888, -107.8241942)",3126.95654296875
30,"(37.6184528, -107.82413754375)",3125.0673828125
31,"(37.618516799999995, -107.8240808875)",3123.212890625
32,"(37.6185808, -107.82402423125001)",3121.44921875
33,"(37.6186448, -107.823967575)",3119.83203125
34,"(37.6187088, -107.82391091874999)",3118.30078125
35,"(37.6187728, -107.82385426249999)",3116.637939453125
36,"(37.6188368, -107.82379760625)",3114.653564453125
37,"(37.6189008, -107.82374095)",3113.147705078125
38,"(37.6189648, -107.82368429375)",3111.688720703125
39,"(37.619028799999995, -107.8236276375)",3110.2509765625
40,"(37.6190928, -107.82357098124999)",3108.488037109375
41,"(37.6191568, -107.82351432499999)",3106.480224609375
42,"(37.6192208, -107.82345766875)",3104.094970703125
43,"(37.6192848, -107.8234010125)",3101.35302734375
44,"(37.6193488, -107.82334435625)",3099.146240234375
45,"(37.6194128, -107.8232877)",3097.361083984375
46,"(37.619446787499996, -107.82314956249999)",3096.7353515625
47,"(37.619480775, -107.823011425)",3097.1572265625
48,"(37.6195147625, -107.8228732875)",3097.4951171875
49,"(37.61954875, -107.82273515)",3097.265625
50,"(37.6195827375, -107.8225970125)",3096.52001953125
51,"(37.619616725, -107.822458875)",3095.66650390625
52,"(37.619650712500004, -107.82232073750001)",3095.04150390625
53,"(37.6196847, -107.8221826)",3094.318115234375
54,"(37.61974605, -107.82209643125)",3092.781494140625
55,"(37.6198074, -107.82201026250002)",3091.244873046875
56,"(37.61986875, -107.82192409375001)",3089.86083984375
57,"(37.619930100000005, -107.82183792500001)",3089.114013671875
58,"(37.61999145, -107.82175175625001)",3089.136962890625
59,"(37.6200528, -107.82166558750001)",3089.4375
60,"(37.620114150000006, -107.82157941875)",3089.31494140625
61,"(37.6201755, -107.82149325)",3088.42138671875
62,"(37.62023685, -107.82140708125)",3086.92724609375
63,"(37.6202982, -107.8213209125)",3082.5283203125
64,"(37.62035955, -107.82123474375)",3076.951416015625
65,"(37.6204209, -107.821148575)",3071.454833984375
66,"(37.62048225, -107.82106240625)",3066.147705078125
67,"(37.620543600000005, -107.82097623749999)",3061.88623046875
68,"(37.62060495, -107.82089006875)",3058.99609375
69,"(37.6206663, -107.8208039)",3056.356201171875
70,"(37.620744362500005, -107.820739525)",3053.792236328125
71,"(37.620822425, -107.82067515)",3051.056396484375
72,"(37.6209004875, -107.820610775)",3046.822021484375
73,"(37.620978550000004, -107.8205464)",3041.0576171875
74,"(37.6210566125, -107.82048202499999)",3036.0966796875
75,"(37.621134675, -107.82041765)",3031.75341796875
76,"(37.6212127375, -107.820353275)",3027.534912109375
77,"(37.6212908, -107.8202889)",3023.23291015625
78,"(37.6214172125, -107.8202312375)",3017.293701171875
79,"(37.621543625, -107.82017357499998)",3010.963623046875
80,"(37.621670037499996, -107.82011591249999)",3003.9990234375
81,"(37.62179645, -107.82005824999999)",2998.53662109375
82,"(37.6219228625, -107.82000058749999)",2994.531005859375
83,"(37.622049274999995, -107.81994292499999)",2990.6962890625
84,"(37.6221756875, -107.8198852625)",2987.714111328125
85,"(37.6223021, -107.8198276)",2985.967529296875
86,"(37.622348706249994, -107.819725340625)",2983.56884765625
87,"(37.6223953125, -107.81962308125)",2981.279541015625
88,"(37.62244191875, -107.819520821875)",2979.031982421875
89,"(37.622488524999994, -107.8194185625)",2976.595947265625
90,"(37.62253513125, -107.819316303125)",2973.693359375
91,"(37.6225817375, -107.81921404375001)",2970.094482421875
92,"(37.622628343749994, -107.819111784375)",2966.1962890625
93,"(37.62267495, -107.819009525)",2962.42724609375
94,"(37.62272155625, -107.818907265625)",2958.371337890625
95,"(37.622768162499995, -107.81880500624999)",2954.27197265625
96,"(37.62281476875, -107.81870274687499)",2950.308837890625
97,"(37.622861375, -107.81860048749999)",2945.75048828125
98,"(37.622907981249995, -107.818498228125)",2941.029296875
99,"(37.6229545875, -107.81839596875)",2936.22119140625
100,"(37.62300119375, -107.818293709375)",2931.3271484375
101,"(37.623047799999995, -107.81819145)",2926.87451171875
102,"(37.62309440625, -107.818089190625)",2922.931396484375
103,"(37.6231410125, -107.81798693125)",2919.038330078125
104,"(37.623187618749995, -107.817884671875)",2915.394287109375
105,"(37.623234225, -107.81778241250001)",2912.152587890625
106,"(37.62328083125, -107.81768015312501)",2908.89208984375
107,"(37.623327437499995, -107.81757789375001)",2905.499755859375
108,"(37.62337404375, -107.817475634375)",2901.8515625
109,"(37.62342065, -107.817373375)",2897.779541015625
110,"(37.623467256249995, -107.817271115625)",2893.192138671875
111,"(37.6235138625, -107.81716885624999)",2887.93994140625
112,"(37.62356046875, -107.817066596875)",2882.1796875
113,"(37.623607074999995, -107.8169643375)",2876.419189453125
114,"(37.62365368125, -107.816862078125)",2870.854736328125
115,"(37.6237002875, -107.81675981875)",2866.424072265625
116,"(37.623746893749995, -107.816657559375)",2863.36474609375
117,"(37.6237935, -107.8165553)",2860.5849609375
118,"(37.623873687499994, -107.81653853750001)",2858.9365234375
119,"(37.623953875, -107.816521775)",2857.1279296875
120,"(37.6240340625, -107.81650501249999)",2855.19677734375
121,"(37.62411425, -107.81648824999999)",2853.063720703125
122,"(37.624194437499995, -107.8164714875)",2850.832275390625
123,"(37.624274625, -107.816454725)",2848.405517578125
124,"(37.6243548125, -107.8164379625)",2845.7548828125
125,"(37.624435, -107.8164212)",2842.92578125
126,"(37.62454133125, -107.81638624375)",2838.661376953125
127,"(37.624647662499996, -107.8163512875)",2834.279296875
128,"(37.62475399375, -107.81631633125)",2830.3876953125
129,"(37.624860325, -107.81628137499999)",2826.91455078125
130,"(37.624966656249995, -107.81624641874998)",2823.900146484375
131,"(37.6250729875, -107.8162114625)",2821.098876953125
132,"(37.62517931875, -107.81617650625)",2818.1572265625
133,"(37.625285649999995, -107.81614155)",2815.341552734375
134,"(37.62539198125, -107.81610659374999)",2812.871826171875
135,"(37.6254983125, -107.8160716375)",2810.4033203125
136,"(37.625604643749995, -107.81603668125001)",2807.821533203125
137,"(37.625710975, -107.816001725)",2804.69677734375
138,"(37.62581730625, -107.81596676875)",2800.33056640625
139,"(37.625923637499994, -107.8159318125)",2794.64404296875
140,"(37.62602996875, -107.81589685624999)",2788.536865234375
141,"(37.6261363, -107.8158619)",2781.795654296875
0,"(37.6229751, -107.8199912)",2991.510498046875
1,"(37.623029993749995, -107.81990164375)",2988.311279296875
2,"(37.6230848875, -107.8198120875)",2984.80224609375
3,"(37.623139781249996, -107.81972253125)",2980.84521484375
4,"(37.62319467499999, -107.819632975)",2976.8642578125
5,"(37.62324956875, -107.81954341875002)",2972.809814453125
6,"(37.623304462499995, -107.81945386250001)",2968.692138671875
7,"(37.62335935624999, -107.81936430625001)",2964.458984375
8,"(37.623414249999996, -107.81927475)",2959.9541015625
9,"(37.62346914375, -107.81918519375)",2955.39892578125
10,"(37.6235240375, -107.8190956375)",2951.2548828125
11,"(37.623578931249995, -107.81900608125)",2947.530029296875
12,"(37.623633825, -107.818916525)",2943.827392578125
13,"(37.62368871875, -107.81882696875002)",2939.712646484375
14,"(37.6237436125, -107.81873741250001)",2934.775390625
15,"(37.62379850625, -107.81864785625001)",2929.6435546875
16,"(37.6238534, -107.8185583)",2924.880615234375
17,"(37.62392009375, -107.81852656250001)",2922.308837890625
18,"(37.6239867875, -107.818494825)",2919.6962890625
19,"(37.62405348125, -107.81846308749999)",2917.144775390625
20,"(37.624120175, -107.81843135)",2914.737060546875
21,"(37.62418686875, -107.8183996125)",2912.2431640625
22,"(37.6242535625, -107.818367875)",2909.3916015625
23,"(37.62432025625, -107.81833613750001)",2906.198974609375
24,"(37.62438695, -107.8183044)",2903.30810546875
25,"(37.62445364375, -107.8182726625)",2901.0
26,"(37.6245203375, -107.818240925)",2898.868896484375
27,"(37.62458703125, -107.8182091875)",2896.58349609375
