,coordinates,elevation
53,"(44.466037075, -70.8486771375)",300.8749084472656
54,"(44.46611125, -70.84863757500001)",299.6690673828125
55,"(44.466185425, -70.84859801250002)",298.1480712890625
56,"(44.4662596, -70.84855845000001)",296.3485107421875
57,"(44.466333775, -70.8485188875)",294.56585693359375
58,"(44.466407950000004, -70.84847932500001)",293.1439208984375
59,"(44.466482125, -70.84843976250002)",291.309326171875
60,"(44.4665563, -70.84840020000001)",289.5249328613281
61,"(44.466630475, -70.84836063750001)",287.40081787109375
62,"(44.46670465, -70.84832107500002)",284.87640380859375
63,"(44.466778825, -70.84828151250002)",282.5251159667969
64,"(44.466853, -70.84824195000002)",280.4266052246094
65,"(44.466927175, -70.84820238750001)",278.892822265625
66,"(44.467001350000004, -70.848162825)",277.511474609375
67,"(44.467075525, -70.8481232625)",276.3578186035156
68,"(44.4671497, -70.8480837)",275.17218017578125
69,"(44.4672635875, -70.84802670625001)",274.2641906738281
70,"(44.467377475000006, -70.8479697125)",273.6332702636719
71,"(44.467491362500006, -70.84791271875)",272.8501281738281
72,"(44.467605250000005, -70.847855725)",272.2309875488281
73,"(44.467719137500005, -70.84779873125001)",271.4418029785156
74,"(44.467833025000004, -70.8477417375)",270.4803466796875
75,"(44.467946912500004, -70.84768474375)",269.7997131347656
76,"(44.4680608, -70.84762775)",269.0592041015625
77,"(44.4681746875, -70.84757075625001)",268.1377868652344
78,"(44.468288575, -70.8475137625)",266.94195556640625
79,"(44.4684024625, -70.84745676874999)",264.91790771484375
80,"(44.46851635, -70.847399775)",262.3213195800781
81,"(44.4686302375, -70.84734278125)",258.8911437988281
82,"(44.468744125, -70.8472857875)",253.98690795898438
83,"(44.4688580125, -70.84722879374999)",250.62020874023438
84,"(44.4689719, -70.8471718)",250.1149139404297
85,"(44.46905615, -70.8471986)",249.90415954589844
86,"(44.4691404, -70.8472254)",249.99476623535156
0,"(44.4611312, -70.8510985)",430.71435546875
1,"(44.4611982, -70.851170925)",430.3986511230469
2,"(44.4612652, -70.85124335)",429.9234619140625
3,"(44.4613322, -70.851315775)",429.2777099609375
4,"(44.4613992, -70.8513882)",428.6338806152344
5,"(44.46151025, -70.85148475)",427.64208984375
6,"(44.461621300000004, -70.85158129999999)",426.5997314453125
7,"(44.461732350000005, -70.85167784999999)",425.6054382324219
