,coordinates,elevation
26,"(44.1924808, -72.9268755)",966.43603515625
27,"(44.1925793, -72.9269614)",967.5030517578125
28,"(44.1926655, -72.9269699)",966.6286010742188
29,"(44.1927301, -72.9270257)",967.5205078125
30,"(44.1927947, -72.9270815)",967.9375610351562
31,"(44.19285625, -72.9270257)",964.1990966796875
32,"(44.1929178, -72.9269699)",961.2009887695312
33,"(44.1930347, -72.9269699)",957.9125366210938
34,"(44.1931578, -72.9269785)",955.1536865234375
35,"(44.1932809, -72.9270129)",952.6239013671875
36,"(44.1933301, -72.9268927)",949.1992797851562
37,"(44.1933178, -72.9267811)",948.2150268554688
38,"(44.193324, -72.9266266)",942.3714599609375
39,"(44.193324, -72.926455)",937.5177612304688
40,"(44.1933301, -72.9262919)",934.0357666015625
41,"(44.1934347, -72.9262232)",929.8214111328125
42,"(44.193514699999994, -72.92624465)",927.396240234375
43,"(44.1935947, -72.9262661)",924.7804565429688
44,"(44.1936993, -72.9263434)",921.9215087890625
45,"(44.1937978, -72.9264035)",920.0789184570312
46,"(44.1938778, -72.9264893)",919.3941040039062
47,"(44.1939947, -72.9264979)",916.584716796875
48,"(44.1941117, -72.9264979)",914.1272583007812
49,"(44.19419475, -72.92647645)",911.4773559570312
50,"(44.1942778, -72.926455)",908.470458984375
51,"(44.1943947, -72.926515)",905.24755859375
52,"(44.1944532, -72.9265837)",903.2322998046875
53,"(44.1945117, -72.9266524)",901.3009643554688
54,"(44.1945855, -72.9267983)",899.4759521484375
55,"(44.194640899999996, -72.92687125)",898.3330688476562
56,"(44.1946963, -72.9269442)",897.2684326171875
57,"(44.19475785, -72.9270386)",895.7078247070312
58,"(44.1948194, -72.927133)",893.7544555664062
0,"(44.1939069, -72.9257718)",913.037353515625
1,"(44.1939455, -72.925837)",913.366943359375
2,"(44.1939763, -72.9258799)",913.1060180664062
3,"(44.1940378, -72.9259915)",912.6732177734375
4,"(44.1941055, -72.9261116)",912.148193359375
5,"(44.1941917, -72.9261975)",910.2705688476562
6,"(44.1942286, -72.9263176)",909.3908081054688
7,"(44.1942778, -72.926455)",908.470458984375
0,"(44.1935947, -72.9262661)",924.7804565429688
1,"(44.1936501, -72.9261374)",921.56640625
2,"(44.1936809, -72.9260172)",918.7365112304688
3,"(44.1937223, -72.9258405)",916.09326171875
0,"(44.1924808, -72.9268755)",966.43603515625
1,"(44.1925793, -72.9267554)",963.3011474609375
2,"(44.192647, -72.9266953)",961.42333984375
3,"(44.192727, -72.9267554)",961.7088623046875
4,"(44.1928132, -72.9267554)",959.4373168945312
5,"(44.1928993, -72.9268669)",959.851806640625
6,"(44.1929178, -72.9269699)",961.2009887695312
7,"(44.1929301, -72.9268755)",959.1695556640625
8,"(44.1929424, -72.9267811)",956.8775024414062
9,"(44.1929609, -72.9266266)",953.3885498046875
10,"(44.1929855, -72.9264807)",949.4747924804688
11,"(44.1930655, -72.9264464)",945.3536987304688
12,"(44.1931578, -72.9263262)",939.3594360351562
13,"(44.193243949999996, -72.92630905)",936.5382080078125
14,"(44.1933301, -72.9262919)",934.0357666015625
0,"(44.1926655, -72.9315018)",1073.319091796875
1,"(44.19268395, -72.93139450000001)",1070.614990234375
2,"(44.1927024, -72.9312872)",1067.7821044921875
3,"(44.1927516, -72.9311413)",1061.1180419921875
4,"(44.1928378, -72.9310984)",1054.536376953125
5,"(44.1929486, -72.9310641)",1048.9039306640625
0,"(44.1925609, -72.9319138)",1081.7034912109375
1,"(44.1926655, -72.9318795)",1078.242431640625
2,"(44.1927147, -72.931785)",1075.349609375
3,"(44.1927455, -72.9316563)",1072.530029296875
4,"(44.1927055, -72.93157905000001)",1073.0313720703125
5,"(44.1926655, -72.9315018)",1073.319091796875
0,"(44.1927455, -72.9316563)",1072.530029296875
1,"(44.1928132, -72.9316563)",1069.477783203125
2,"(44.1928809, -72.9316563)",1065.904052734375
3,"(44.1929116, -72.9316048)",1062.9520263671875
4,"(44.1929116, -72.9314589)",1059.973388671875
5,"(44.192887, -72.9313645)",1060.0491943359375
0,"(44.1945424, -72.9305405)",965.2686767578125
1,"(44.1946532, -72.9306263)",959.6196899414062
2,"(44.1947394, -72.9306521)",954.9969482421875
3,"(44.1947763, -72.9305233)",949.1321411132812
4,"(44.19477015, -72.93035595)",947.8805541992188
5,"(44.194764, -72.9301886)",945.8817749023438
0,"(44.1912269, -72.9310174)",1105.492431640625
1,"(44.1913123, -72.93097155000001)",1106.3387451171875
2,"(44.1913977, -72.9309257)",1105.854736328125
3,"(44.19145925, -72.9308747)",1105.3099365234375
4,"(44.1915208, -72.9308237)",1103.463623046875
5,"(44.191570049999996, -72.93074645)",1100.8515625
6,"(44.1916193, -72.9306692)",1098.3909912109375
7,"(44.1917147, -72.9306778)",1097.5726318359375
8,"(44.1918101, -72.9306864)",1096.4725341796875
9,"(44.1919085, -72.9305748)",1093.25439453125
10,"(44.1919639, -72.930489)",1089.4317626953125
11,"(44.1920193, -72.9304032)",1085.18359375
12,"(44.192090050000004, -72.93032165)",1079.837158203125
13,"(44.1921608, -72.9302401)",1073.5325927734375
14,"(44.19225315, -72.9301285)",1067.72216796875
15,"(44.1923455, -72.9300169)",1062.48291015625
16,"(44.192402900000005, -72.92989295)",1058.740234375
17,"(44.1924603, -72.929769)",1053.344482421875
18,"(44.192519787500004, -72.92970986249999)",1050.1046142578125
19,"(44.192579275, -72.92965072499999)",1045.8822021484375
20,"(44.192638762499996, -72.9295915875)",1042.0390625
21,"(44.19269825, -72.92953245)",1037.140380859375
22,"(44.1927577375, -72.9294733125)",1031.840576171875
23,"(44.192817225, -72.929414175)",1026.4837646484375
24,"(44.192876712499995, -72.9293550375)",1023.1533813476562
25,"(44.1929362, -72.9292959)",1019.4341430664062
26,"(44.19299236249999, -72.9292251)",1017.1588134765625
27,"(44.193048524999995, -72.9291543)",1013.1784057617188
28,"(44.193104687499996, -72.92908349999999)",1008.9464111328125
29,"(44.19316085, -72.9290127)",1004.6146850585938
30,"(44.1932170125, -72.92894190000001)",1001.0062255859375
31,"(44.193273175, -72.92887110000001)",996.6664428710938
32,"(44.1933293375, -72.9288003)",992.6677856445312
33,"(44.1933855, -72.9287295)",988.6964721679688
34,"(44.1934631875, -72.928637225)",984.0266723632812
35,"(44.193540875, -72.92854495)",978.9549560546875
36,"(44.1936185625, -72.928452675)",973.2691040039062
37,"(44.19369625, -72.9283604)",968.3609619140625
38,"(44.1937739375, -72.928268125)",963.7728881835938
39,"(44.193851625, -72.92817585)",958.3805541992188
40,"(44.1939293125, -72.928083575)",951.7056274414062
41,"(44.194007, -72.9279913)",945.485595703125
42,"(44.194108549999996, -72.9278840125)",939.077880859375
43,"(44.1942101, -72.927776725)",933.0380249023438
44,"(44.19431165, -72.9276694375)",925.5121459960938
45,"(44.1944132, -72.92756215)",917.220947265625
46,"(44.194514749999996, -72.9274548625)",909.7315063476562
47,"(44.1946163, -72.927347575)",904.2664184570312
48,"(44.19471785, -72.9272402875)",898.5714721679688
