,coordinates,elevation
37,"(44.25493795, -71.46303599999999)",590.6150512695312
38,"(44.2550163, -71.4629447)",588.355224609375
39,"(44.2551038, -71.4628817)",586.1771850585938
40,"(44.2551913, -71.4628187)",583.8818359375
41,"(44.2552788, -71.4627557)",582.0042724609375
42,"(44.2553663, -71.4626927)",579.7799072265625
43,"(44.255442875, -71.46262802500001)",577.9180908203125
44,"(44.255519449999994, -71.46256335000001)",575.84521484375
45,"(44.255596024999996, -71.462498675)",574.4185180664062
46,"(44.2556726, -71.462434)",573.2994995117188
47,"(44.255749175, -71.462369325)",572.4081420898438
48,"(44.25582575, -71.46230465)",571.2991943359375
49,"(44.255902325, -71.46223997499999)",569.5197143554688
50,"(44.2559789, -71.4621753)",567.7081909179688
51,"(44.2560519, -71.4621236)",565.6321411132812
52,"(44.2561249, -71.4620719)",563.4920043945312
53,"(44.256197900000004, -71.4620202)",561.3832397460938
54,"(44.256270900000004, -71.4619685)",559.2552490234375
55,"(44.256343900000005, -71.4619168)",557.2744750976562
56,"(44.256416900000005, -71.4618651)",555.300537109375
57,"(44.256489900000005, -71.4618134)",553.5255126953125
58,"(44.2565629, -71.4617617)",551.706298828125
59,"(44.25662708749999, -71.4617219875)",549.7479248046875
60,"(44.256691274999994, -71.46168227499999)",547.8739013671875
61,"(44.256755462499996, -71.46164256249999)",546.0810546875
62,"(44.25681965, -71.46160284999999)",544.2222900390625
63,"(44.2568838375, -71.4615631375)",541.992431640625
64,"(44.256948025, -71.461523425)",539.9747924804688
65,"(44.2570122125, -71.4614837125)",537.9962768554688
66,"(44.2570764, -71.461444)",535.8411254882812
67,"(44.2571389, -71.4614059)",533.9688720703125
68,"(44.2572014, -71.4613678)",532.0215454101562
69,"(44.2572639, -71.4613297)",530.0463256835938
70,"(44.2573264, -71.4612916)",527.8256225585938
71,"(44.2573873625, -71.46124788750001)",525.7202758789062
72,"(44.257448325, -71.461204175)",523.538330078125
73,"(44.2575092875, -71.4611604625)",521.1719970703125
74,"(44.25757025, -71.46111675)",518.6732788085938
75,"(44.2576312125, -71.4610730375)",516.3164672851562
76,"(44.257692175, -71.461029325)",514.1259765625
77,"(44.2577531375, -71.4609856125)",512.064208984375
78,"(44.2578141, -71.4609419)",509.824462890625
79,"(44.25788865, -71.460876875)",506.9172058105469
80,"(44.2579632, -71.46081185)",504.4380187988281
81,"(44.25803775, -71.460746825)",502.136962890625
82,"(44.2581123, -71.4606818)",499.9228820800781
83,"(44.25816725, -71.46061915)",498.353515625
84,"(44.2582222, -71.4605565)",496.85205078125
85,"(44.25827715, -71.46049385)",495.57000732421875
86,"(44.2583321, -71.4604312)",494.6770935058594
87,"(44.2584011, -71.4603752)",493.5516357421875
88,"(44.2584701, -71.4603192)",492.6949157714844
89,"(44.25853909999999, -71.4602632)",492.4366455078125
90,"(44.2586081, -71.4602072)",492.2061462402344
91,"(44.25868205, -71.46017555)",491.7997131347656
92,"(44.258756, -71.4601439)",491.4037170410156
0,"(44.2491385, -71.4739454)",802.281494140625
1,"(44.249169300000005, -71.474125)",801.0933227539062
2,"(44.2492001, -71.4743046)",799.287841796875
3,"(44.2492529, -71.47445189999999)",798.0031127929688
4,"(44.2493057, -71.4745992)",796.8026733398438
5,"(44.249372199999996, -71.47468455)",796.7078247070312
6,"(44.2494387, -71.4747699)",796.0119018554688
7,"(44.249538175, -71.47489350000001)",795.2900390625
8,"(44.24963765, -71.4750171)",794.5275268554688
9,"(44.249737124999996, -71.4751407)",793.6373901367188
10,"(44.2498366, -71.4752643)",792.9059448242188
11,"(44.249901, -71.47538735)",792.020751953125
12,"(44.2499654, -71.4755104)",790.6863403320312
