,coordinates,elevation
88,"(42.50122475, -71.8899639)",373.69891357421875
89,"(42.501278125, -71.8898455)",371.3940124511719
90,"(42.5013315, -71.8897271)",368.9692077636719
91,"(42.50138295, -71.88963129999999)",366.73590087890625
92,"(42.5014344, -71.8895355)",364.3184509277344
93,"(42.501501625, -71.889471125)",362.2096252441406
94,"(42.50156885, -71.88940674999999)",360.2076721191406
95,"(42.501636075, -71.88934237499998)",358.4477844238281
96,"(42.5017033, -71.88927799999999)",356.5684814453125
97,"(42.501770525, -71.889213625)",354.5372314453125
98,"(42.50183775, -71.88914925)",352.9310607910156
99,"(42.501904975, -71.88908487500001)",351.51165771484375
100,"(42.5019722, -71.8890205)",349.7666015625
101,"(42.5020334, -71.8889476875)",347.695556640625
102,"(42.5020946, -71.888874875)",345.8454284667969
103,"(42.5021558, -71.88880206249999)",343.91217041015625
104,"(42.502217, -71.88872925)",341.9253234863281
105,"(42.5022782, -71.8886564375)",340.0648193359375
106,"(42.5023394, -71.888583625)",337.9813537597656
107,"(42.5024006, -71.88851081249999)",335.6231994628906
108,"(42.5024618, -71.888438)",333.27899169921875
109,"(42.502465762499995, -71.88833338749998)",331.7010498046875
110,"(42.502469725, -71.88822877499999)",330.2313232421875
111,"(42.5024736875, -71.88812416249999)",328.5371398925781
112,"(42.50247765, -71.88801955)",326.3146057128906
113,"(42.502481612500006, -71.8879149375)",323.9200439453125
114,"(42.502485575, -71.887810325)",321.7591247558594
115,"(42.5024895375, -71.88770571250001)",319.619384765625
116,"(42.5024935, -71.8876011)",317.88665771484375
117,"(42.502473824999996, -71.887507625)",317.24652099609375
118,"(42.50245415, -71.88741415)",316.8865966796875
119,"(42.502434475, -71.887320675)",316.30072021484375
120,"(42.5024148, -71.8872272)",315.5411071777344
121,"(42.502395125, -71.887133725)",314.9072265625
122,"(42.50237545, -71.88704025)",314.5443115234375
123,"(42.502355775, -71.886946775)",314.3670654296875
124,"(42.5023361, -71.8868533)",314.24896240234375
0,"(42.4968306, -71.8923894)",449.1311340332031
1,"(42.4968869625, -71.89229800000001)",447.4657897949219
2,"(42.496943325000004, -71.89220660000001)",446.2872619628906
3,"(42.4969996875, -71.8921152)",445.3497619628906
4,"(42.49705605, -71.8920238)",444.2665710449219
5,"(42.4971124125, -71.8919324)",443.3058166503906
6,"(42.497168775, -71.891841)",442.3470458984375
7,"(42.497225137499996, -71.8917496)",441.23291015625
8,"(42.4972815, -71.8916582)",439.9572448730469
9,"(42.497337862500004, -71.89156679999999)",438.4836730957031
10,"(42.497394225, -71.89147539999999)",436.914306640625
11,"(42.4974505875, -71.89138399999999)",435.3603820800781
12,"(42.49750695, -71.8912926)",433.4510192871094
13,"(42.4975633125, -71.89120120000001)",431.6932067871094
14,"(42.497619674999996, -71.89110980000001)",430.1989440917969
15,"(42.4976760375, -71.89101840000001)",428.6779479980469
16,"(42.4977324, -71.890927)",427.0201110839844
17,"(42.49781842499999, -71.8908384875)",424.81097412109375
18,"(42.49790444999999, -71.890749975)",422.7958679199219
19,"(42.497990474999995, -71.8906614625)",421.2090148925781
20,"(42.498076499999996, -71.89057295)",419.5342712402344
21,"(42.498162525, -71.8904844375)",417.5013427734375
22,"(42.49824855, -71.890395925)",415.172119140625
23,"(42.498334575, -71.89030741250001)",412.99505615234375
24,"(42.4984206, -71.89021890000001)",410.6326904296875
25,"(42.498506625000005, -71.89013038750001)",408.4297790527344
26,"(42.498592650000006, -71.89004187500001)",407.042236328125
27,"(42.49867867500001, -71.88995336250001)",405.4617614746094
28,"(42.4987647, -71.88986485000001)",403.3764953613281
29,"(42.498850725, -71.88977633750001)",400.3352966308594
30,"(42.49893675, -71.88968782500001)",396.8538513183594
31,"(42.499022775, -71.8895993125)",393.7969970703125
32,"(42.4991088, -71.8895108)",391.1756896972656
33,"(42.4991977875, -71.8894008375)",388.25750732421875
34,"(42.499286775, -71.889290875)",385.4434814453125
35,"(42.4993757625, -71.8891809125)",382.0601501464844
36,"(42.49946475, -71.88907094999999)",378.2747497558594
37,"(42.4995537375, -71.88896098749998)",375.1533203125
38,"(42.499642725, -71.888851025)",372.3013916015625
39,"(42.4997317125, -71.8887410625)",369.16143798828125
40,"(42.4998207, -71.8886311)",365.3534851074219
41,"(42.499883975, -71.888491625)",362.2424011230469
42,"(42.49994725, -71.88835215)",359.3094787597656
43,"(42.50001052499999, -71.888212675)",357.1859436035156
44,"(42.500073799999996, -71.88807320000001)",355.43536376953125
45,"(42.500137075, -71.88793372500001)",353.49676513671875
46,"(42.50020035, -71.88779425000001)",350.9695129394531
47,"(42.500263625, -71.88765477500002)",348.0318298339844
48,"(42.5003269, -71.8875153)",345.23968505859375
