,coordinates,elevation
4,"(44.9346425, -72.5139034)",678
5,"(44.9350753, -72.5134021)",678
6,"(44.9353726, -72.5129641)",678
7,"(44.935512, -72.5125484)",646
8,"(44.9357427, -72.5119521)",628
9,"(44.9364475, -72.5108224)",628
10,"(44.9371926, -72.5096748)",616
11,"(44.9377236, -72.5088147)",586
12,"(44.9380325, -72.5083201)",573
13,"(44.9383899, -72.5077357)",573
0,"(44.9201902, -72.5115923)",955
1,"(44.9201242, -72.5111357)",955
2,"(44.9202393, -72.5107522)",955
3,"(44.9204031, -72.5104901)",955
4,"(44.9207032, -72.5102666)",929
5,"(44.9208955, -72.5101218)",852
6,"(44.9210015, -72.5099391)",852
7,"(44.921309, -72.5093262)",852
8,"(44.9215219, -72.5088946)",852
9,"(44.9217729, -72.5085401)",852
10,"(44.9220294, -72.5082395)",802
11,"(44.9222048, -72.5081702)",802
12,"(44.9225056, -72.5080171)",802
13,"(44.9227831, -72.5077032)",802
14,"(44.9230008, -72.5073377)",728
15,"(44.9231864, -72.5072067)",728
0,"(44.9229076, -72.5139)",894
1,"(44.923093, -72.5140732)",794
2,"(44.9232497, -72.5144117)",794
3,"(44.9234241, -72.5146139)",827
4,"(44.9237257, -72.5147175)",827
5,"(44.9239804, -72.514881)",827
6,"(44.924266, -72.5150118)",827
7,"(44.92446, -72.5151356)",827
8,"(44.9245398, -72.515141)",827
9,"(44.9246196, -72.515082)",827
10,"(44.9246442, -72.5148483)",827
11,"(44.9245474, -72.5146582)",827
12,"(44.9243993, -72.5143953)",794
13,"(44.9243195, -72.5141915)",794
14,"(44.9243081, -72.5140037)",794
15,"(44.9243803, -72.5136604)",794
16,"(44.9244866, -72.5132259)",794
17,"(44.9244828, -72.5129362)",794
18,"(44.9244752, -72.5122925)",775
19,"(44.924479, -72.5118848)",775
20,"(44.9245626, -72.5115093)",775
21,"(44.9247487, -72.511166)",775
22,"(44.9249268, -72.5109262)",775
23,"(44.9252007, -72.5107422)",702
24,"(44.9253602, -72.5105169)",702
25,"(44.9255691, -72.5100984)",693
26,"(44.9257818, -72.5097766)",693
27,"(44.9259413, -72.5096371)",693
28,"(44.9263895, -72.5093474)",693
0,"(44.926828, -72.5263671)",1047
1,"(44.9269672, -72.5264672)",1047
2,"(44.9270355, -72.5265772)",1047
3,"(44.9271298, -72.5267336)",965
4,"(44.9272364, -72.5269189)",965
5,"(44.9273266, -72.5271158)",969
6,"(44.9274496, -72.527249)",969
7,"(44.927542, -72.5273303)",969
8,"(44.9276867, -72.5272402)",969
9,"(44.9278424, -72.5270771)",965
10,"(44.9280482, -72.5269942)",965
11,"(44.9283065, -72.526971)",965
12,"(44.9285812, -72.5269479)",965
13,"(44.9287739, -72.5269015)",965
14,"(44.9289461, -72.5267799)",965
15,"(44.9291716, -72.5264846)",852
16,"(44.929352, -72.5262472)",852
17,"(44.9294613, -72.5261381)",852
18,"(44.9296073, -72.5261088)",852
19,"(44.9299423, -72.5262472)",852
20,"(44.9301316, -72.526237)",852
21,"(44.9303564, -72.5261487)",852
22,"(44.9305473, -72.526075)",852
23,"(44.9307256, -72.526123)",852
24,"(44.9309099, -72.5262472)",852
25,"(44.9310492, -72.5264093)",852
26,"(44.9311558, -72.5266699)",852
27,"(44.9312545, -72.5269111)",784
28,"(44.9313854, -72.5271911)",794
0,"(44.9208724, -72.5126714)",894
1,"(44.9210198, -72.5123862)",888
2,"(44.9211726, -72.5120856)",888
3,"(44.9213527, -72.511916)",888
4,"(44.9214727, -72.5119006)",888
5,"(44.9215819, -72.5120393)",888
6,"(44.9216474, -72.5121935)",888
7,"(44.9216801, -72.5123785)",888
8,"(44.9217347, -72.5126405)",894
9,"(44.9217784, -72.5128332)",894
0,"(44.920403, -72.512965)",943
1,"(44.9205995, -72.5128718)",943
2,"(44.9206978, -72.5128024)",943
3,"(44.9208069, -72.5126791)",943
4,"(44.9208724, -72.5126714)",894
5,"(44.9210252, -72.5127638)",894
6,"(44.9212162, -72.5128332)",894
7,"(44.9213691, -72.5128409)",894
8,"(44.9215983, -72.512864)",894
9,"(44.9217784, -72.5128332)",894
10,"(44.9219694, -72.5126868)",894
11,"(44.9220671, -72.5124073)",888
12,"(44.9221004, -72.5121472)",888
13,"(44.9221386, -72.5117619)",888
14,"(44.9222313, -72.511546)",888
15,"(44.9223569, -72.511284)",888
16,"(44.9224809, -72.5111528)",888
17,"(44.9226194, -72.5108291)",888
18,"(44.9227706, -72.5107183)",888
19,"(44.9229744, -72.5105764)",775
20,"(44.9231683, -72.5103243)",768
21,"(44.9233221, -72.510052)",768
22,"(44.9235196, -72.5097645)",768
23,"(44.9236966, -72.5096063)",768
24,"(44.9238575, -72.5095872)",768
25,"(44.9240764, -72.5096478)",768
0,"(44.9338667, -72.5255657)",727
1,"(44.9339728, -72.5252374)",727
2,"(44.9343116, -72.524853)",734
