,coordinates,elevation
8,"(44.5227974, -72.8172644)",1170
9,"(44.5227255, -72.8173316)",1170
10,"(44.5226435, -72.8174466)",1170
11,"(44.5225564, -72.8176112)",1170
12,"(44.5224681, -72.8177492)",1170
13,"(44.5222935, -72.8179355)",1170
14,"(44.5222183, -72.8180925)",1170
15,"(44.5221826, -72.8182252)",1170
16,"(44.5221713, -72.8183821)",1170
17,"(44.5221384, -72.8188483)",1115
18,"(44.5221009, -72.819087)",1115
19,"(44.522053, -72.8192852)",1115
20,"(44.5220202, -72.8193666)",1115
21,"(44.5219728, -72.8194448)",1115
22,"(44.5218347, -72.8196208)",1115
23,"(44.521812, -72.8196993)",1115
24,"(44.5218049, -72.8197876)",1115
25,"(44.5218256, -72.8199432)",1115
26,"(44.521899, -72.8201513)",1115
27,"(44.5219079, -72.8202514)",1115
28,"(44.5218933, -72.8203498)",1115
29,"(44.5218194, -72.8205435)",1115
30,"(44.5216379, -72.8208195)",1115
31,"(44.5214562, -72.8211132)",1048
32,"(44.5213553, -72.8213344)",1048
33,"(44.5212417, -72.8215946)",1048
34,"(44.5210802, -72.8221361)",1048
35,"(44.5209768, -72.8224599)",1048
36,"(44.5209503, -72.8225555)",1048
37,"(44.5209313, -72.8226864)",1048
38,"(44.5209414, -72.8228563)",1048
39,"(44.5209547, -72.8229671)",987
40,"(44.5210853, -72.8235075)",987
41,"(44.5210979, -72.8236101)",987
42,"(44.5211118, -72.8241003)",987
43,"(44.5211282, -72.8242932)",987
44,"(44.5211711, -72.8245463)",987
45,"(44.521191, -72.8247325)",987
46,"(44.521162, -72.8249476)",987
47,"(44.5210295, -72.8254644)",939
48,"(44.520997, -72.8256151)",939
49,"(44.5209768, -72.825762)",939
50,"(44.5209869, -72.8260239)",939
51,"(44.5210101, -72.8263762)",939
52,"(44.52106, -72.8268786)",939
53,"(44.5210537, -72.8270441)",939
54,"(44.5210399, -72.8271246)",891
55,"(44.5210197, -72.8272148)",891
