,coordinates,elevation
1,"(44.1716846, -71.699573)",752
2,"(44.1729043, -71.6997286)",752
3,"(44.1754167, -71.7002704)",638
0,"(44.1707544, -71.6997599)",811
1,"(44.1726019, -71.7001913)",719
2,"(44.1743167, -71.700561)",677
3,"(44.1755471, -71.7007677)",638
4,"(44.1758804, -71.700565)",638
0,"(44.1734088, -71.7008568)",677
1,"(44.1751755, -71.7011832)",638
2,"(44.175818, -71.7014568)",638
0,"(44.1577657, -71.6992951)",1238
1,"(44.1578898, -71.6995449)",1238
2,"(44.1581241, -71.7000255)",1161
3,"(44.1583849, -71.700426)",1162
4,"(44.1590359, -71.7015135)",1162
5,"(44.1596681, -71.7028559)",1120
6,"(44.1599366, -71.7030696)",1120
7,"(44.1601665, -71.7034886)",1120
8,"(44.1604273, -71.7039076)",1071
9,"(44.1609578, -71.7046101)",1083
0,"(44.1591724, -71.7003595)",1162
1,"(44.1593979, -71.7002726)",1162
2,"(44.1598791, -71.7007726)",1162
3,"(44.1603405, -71.7008136)",1162
4,"(44.1609771, -71.701171)",1081
5,"(44.1612335, -71.7015037)",1081
6,"(44.1615252, -71.7015777)",1081
7,"(44.1621919, -71.7027566)",1071
8,"(44.1623298, -71.7029087)",1071
9,"(44.1627987, -71.702781)",977
0,"(44.1585694, -71.6994154)",1171
1,"(44.1587779, -71.7002469)",1162
2,"(44.1588702, -71.7003703)",1162
3,"(44.159105, -71.7002603)",1162
4,"(44.1591724, -71.7003595)",1162
5,"(44.1591839, -71.7009523)",1162
6,"(44.1592435, -71.7010355)",1162
7,"(44.1595187, -71.7009255)",1162
8,"(44.1596072, -71.7010623)",1162
9,"(44.1596284, -71.7013815)",1162
10,"(44.1595322, -71.7017382)",1162
11,"(44.1595525, -71.7018378)",1162
12,"(44.1596111, -71.7019581)",1162
13,"(44.1597131, -71.7020788)",1162
14,"(44.1598266, -71.7020627)",1162
15,"(44.1600774, -71.7018604)",1162
16,"(44.1601621, -71.7019113)",1162
17,"(44.1603487, -71.7026302)",1120
18,"(44.1604216, -71.7026793)",1071
19,"(44.1606624, -71.7025416)",1071
20,"(44.1608124, -71.7028786)",1071
21,"(44.160932, -71.7033217)",1071
22,"(44.1610487, -71.7034033)",1071
23,"(44.1613397, -71.7036065)",1071
24,"(44.1615417, -71.7037004)",1071
25,"(44.1619183, -71.7037465)",1071
26,"(44.1625961, -71.7040866)",977
27,"(44.1626904, -71.7040034)",977
28,"(44.1626442, -71.7033785)",977
29,"(44.1627046, -71.7029859)",977
30,"(44.1627987, -71.702781)",977
31,"(44.1629425, -71.7025703)",977
32,"(44.1630262, -71.7023228)",977
33,"(44.1630999, -71.701725)",966
34,"(44.1631971, -71.7011646)",966
35,"(44.163223, -71.7008603)",966
36,"(44.1632538, -71.7005062)",966
37,"(44.1633154, -71.7002058)",966
38,"(44.1635078, -71.6999269)",979
39,"(44.1637694, -71.6997874)",979
40,"(44.1640696, -71.6996479)",979
41,"(44.164185, -71.699546)",979
42,"(44.1645929, -71.6992617)",926
43,"(44.1649008, -71.6990042)",926
44,"(44.1651136, -71.6988902)",926
0,"(44.1603182, -71.7021938)",1120
1,"(44.1603182, -71.7021938)",1120
2,"(44.1609194, -71.7022615)",1071
3,"(44.1611051, -71.702582)",1071
4,"(44.1612554, -71.7029024)",1071
5,"(44.1615757, -71.7033314)",1071
6,"(44.1623133, -71.7034819)",1071
7,"(44.1625829, -71.7033759)",977
8,"(44.1625795, -71.7031237)",977
9,"(44.1622456, -71.7031427)",1071
10,"(44.161613, -71.7029304)",1071
11,"(44.1612872, -71.7024215)",1071
12,"(44.1609813, -71.7019534)",1081
13,"(44.1602387, -71.7019411)",1162
0,"(44.1595256, -71.7003201)",1162
1,"(44.1595256, -71.7003201)",1162
2,"(44.1596641, -71.700222)",1162
3,"(44.1605416, -71.7004687)",1081
4,"(44.1613189, -71.7005599)",1081
5,"(44.1622602, -71.7006118)",1081
6,"(44.162762, -71.7005224)",966
7,"(44.1631915, -71.7003547)",966
8,"(44.1632665, -71.7000864)",966
9,"(44.1627466, -71.7001629)",966
10,"(44.1622348, -71.7002005)",1081
11,"(44.1613281, -71.7001561)",1081
12,"(44.1605262, -71.7001254)",1081
13,"(44.1596256, -71.7000288)",1162
14,"(44.1594527, -71.7001635)",1162
0,"(44.1609578, -71.7046101)",1083
1,"(44.1609993, -71.7046096)",1083
2,"(44.1615671, -71.7046033)",1083
3,"(44.1616961, -71.7046706)",1083
4,"(44.162058, -71.7048235)",1083
5,"(44.1624079, -71.7049449)",1083
6,"(44.1627275, -71.7049228)",1028
7,"(44.1630328, -71.7048702)",1028
8,"(44.1631301, -71.7047674)",1028
9,"(44.1631611, -71.7039448)",977
10,"(44.1632286, -71.7033687)",977
11,"(44.1632638, -71.7030602)",977
12,"(44.1632502, -71.7021132)",977
13,"(44.1631971, -71.7011646)",966
0,"(44.1632286, -71.7033687)",977
1,"(44.163591, -71.703251)",977
2,"(44.1637457, -71.703328)",977
3,"(44.1639336, -71.7031432)",977
4,"(44.1640596, -71.703214)",977
5,"(44.1642607, -71.7035006)",977
6,"(44.164464, -71.7033927)",977
7,"(44.1644972, -71.7032818)",977
8,"(44.1645259, -71.7029922)",977
9,"(44.1646386, -71.7027673)",886
10,"(44.164926, -71.7025917)",886
11,"(44.1651072, -71.7026903)",886
12,"(44.1653835, -71.7029059)",886
13,"(44.1655426, -71.7028443)",886
14,"(44.1659272, -71.7023945)",886
15,"(44.1663294, -71.7021172)",886
16,"(44.1667046, -71.7019503)",814
17,"(44.16712, -71.7019503)",814
18,"(44.1673481, -71.7018259)",814
19,"(44.1675726, -71.70175)",814
20,"(44.1680177, -71.7014718)",814
21,"(44.1683225, -71.7011787)",814
22,"(44.168502, -71.700987)",814
0,"(44.1655676, -71.7020094)",869
1,"(44.1655676, -71.7020094)",869
2,"(44.1660966, -71.7017168)",869
3,"(44.1663088, -71.7017213)",869
4,"(44.166491, -71.7018993)",869
5,"(44.1663076, -71.7019482)",869
6,"(44.1661098, -71.7019084)",869
7,"(44.1657162, -71.7022018)",886
8,"(44.1652904, -71.702718)",886
9,"(44.1651409, -71.7026199)",886
0,"(44.16712, -71.7019503)",814
1,"(44.1675646, -71.7020974)",793
2,"(44.1679624, -71.7021498)",793
3,"(44.1684889, -71.7019811)",814
4,"(44.169184, -71.7019792)",764
5,"(44.1694585, -71.7022493)",737
0,"(44.1694585, -71.7022493)",737
1,"(44.1699634, -71.7025446)",737
2,"(44.1704508, -71.7026916)",737
3,"(44.1708846, -71.7027874)",705
4,"(44.1714775, -71.7027407)",705
5,"(44.1719062, -71.7026567)",705
6,"(44.1722811, -71.7026256)",705
0,"(44.1722811, -71.7026256)",705
1,"(44.1725604, -71.7025407)",705
2,"(44.1728447, -71.702392)",705
3,"(44.173662, -71.701939)",677
4,"(44.1742103, -71.7017054)",677
5,"(44.1745203, -71.7015549)",677
6,"(44.1747989, -71.7013979)",677
0,"(44.1631971, -71.7011646)",966
1,"(44.1635156, -71.7007116)",966
2,"(44.1637087, -71.7005618)",966
3,"(44.1638802, -71.7005774)",966
4,"(44.164026, -71.7006953)",966
0,"(44.164026, -71.7006953)",966
1,"(44.1641198, -71.7007053)",966
2,"(44.1644493, -71.7007406)",966
3,"(44.1648996, -71.7006172)",869
4,"(44.1650612, -71.7007835)",869
5,"(44.1655037, -71.7006118)",869
6,"(44.1662695, -71.7006333)",869
7,"(44.1670275, -71.700746)",814
8,"(44.1676009, -71.7008479)",814
9,"(44.1680472, -71.7008747)",814
10,"(44.1684089, -71.700982)",814
11,"(44.168502, -71.700987)",814
12,"(44.1689053, -71.7010088)",764
13,"(44.1692008, -71.7010829)",764
0,"(44.1692008, -71.7010829)",764
1,"(44.1695398, -71.7014618)",764
2,"(44.1698282, -71.7016659)",764
3,"(44.1706287, -71.7016601)",764
0,"(44.1706287, -71.7016601)",764
1,"(44.1715231, -71.7021144)",705
2,"(44.1727012, -71.7018542)",719
3,"(44.1734004, -71.7015417)",677
4,"(44.1737344, -71.7012411)",677
0,"(44.1686682, -71.699665)",878
1,"(44.1700699, -71.7008635)",764
2,"(44.1706287, -71.7016601)",764
0,"(44.1691029, -71.6994024)",811
1,"(44.169775, -71.6996049)",811
2,"(44.1702022, -71.7000286)",764
3,"(44.1705081, -71.7001457)",764
4,"(44.1714225, -71.7004956)",719
5,"(44.1716369, -71.7005096)",719
